番号,反応名,反応式（物質表記）,反応式（化学式表記）,生成物,生成量（概算）,パンへの影響
M1,デンプンの水和・膨潤,小麦デンプン(アミロース/アミロペクチン) + 水 → 膨潤デンプン,(C₆H₁₀O₅)ₙ + xH₂O → (C₆H₁₀O₅)ₙ·xH₂O,膨潤デンプン,数十g単位（主成分）,粘度上昇、生地のまとまり
M2,グルテン形成,グルテニン + グリアジン + 水 → グルテン網目,Protein₁ + Protein₂ + H₂O → Gluten network,グルテン複合体,30g程度の主要タンパク質由来,弾力・ガス保持能
M3,タンパク質の部分水和,アルブミン・グロブリン + 水 → 水和タンパク質,Protein + H₂O → Protein·H₂O,水和タンパク質,数g,粘弾性の補助
M4,塩の電解作用,NaCl → Na⁺ + Cl⁻ （水中）,NaCl → Na⁺ + Cl⁻,"イオン化Na⁺, Cl⁻",約5.85 g → 完全溶解,グルテン収斂・酵母活性制御
M6,イースト水和・活性化,乾燥酵母 + 水 → 水和酵母細胞,Yeast(dry) + H₂O → Yeast(hydrated),活性化酵母,3 g全量が水和,発酵開始の準備
M7,脂質乳化（卵黄レシチン+バター脂質+水）,TAG + レシチン + 水 → 乳化脂質ミセル,C₅₅H₉₈O₆ + Lecithin + H₂O → Emulsion,乳化脂質粒子,約30g脂質の大半,生地の柔らかさ、きめ細かさ
M8,カルシウム・マグネシウム架橋,Ca²⁺/Mg²⁺ + ペントサン/タンパク質 → 架橋複合体,Ca²⁺ + Polysaccharide → Cross-linked complex,ペントサン-ミネラル複合体,数百mgレベル,生地硬化の抑制、安定化
M9a,αアミラーゼによるデンプン分解,α-アミラーゼ + デンプン → マルトース断片 + アミロペクチン断片,Enz + (C₆H₁₀O₅)n → Maltose + Amylopectin fragment,マルトース、アミロペクチン断片,微量（mgレベル開始）,発酵基質の初期生成
M9b,βアミラーゼによるデンプン分解,β-アミラーゼ + デンプン → マルトース,Enz + (C₆H₁₀O₅)n → Maltose,マルトース,微量（mgレベル開始）,発酵基質の初期生成
M10,ペントサンの水和,ペントサン + 水 → 水和ペントサン,Polysaccharide + H₂O → Polysaccharide·H₂O,水和ペントサン,数g,粘性向上、生地安定化
M11,タンパク質酸化（S–S架橋）,グルテニン–SH + グルテニン–SH → S–S架橋,2Protein–SH → Protein–S–S–Protein,酸化グルテン複合体,微量,グルテン網の初期強化、弾力向上
M12,デンプン–脂肪酸複合体形成,アミロース + 脂肪酸 → 複合体,(C₆H₁₀O₅)ₙ + R–COOH → Complex,デンプン–脂質複合体,微量,焼成時の構造安定化、食感改善
M13,Na⁺によるグルテン強化,Na⁺ + グルテン → 電荷遮蔽・網目締め,Na⁺ + Protein network → Stabilized network,強化グルテン網,微量,グルテン網の締まり、ガス保持向上
M14,タンパク質分解（プロテアーゼ作用）,グルテン前駆体 + プロテアーゼ → 可溶性ペプチド・遊離アミノ酸,Protein precursor + Protease → Soluble peptides + Free amino acids,可溶性ペプチド・遊離アミノ酸,微量（一次発酵で増加）,グルテン前駆体減少、一次発酵での風味・酵母栄養源増加
M15,初期メイラード反応,還元糖 + アミノ酸 → アマドリ化合物,R-CHO + R'-NH₂ → Amadori product,メイラード前駆体,微量,焼成時の色と風味の元
M16,アスコルビン酸の酸化,アスコルビン酸 + O₂ → デヒドロアスコルビン酸,C₆H₈O₆ + O₂ → C₆H₆O₆,デヒドロアスコルビン酸,微量,グルテン網の強化

M18,システインによるグルテン網の調整,グルテンジスルフィド結合 + システイン → グルテンチオール + シスチン,Protein–S–S–Protein + 2 C₃H₇NO₂S → 2 Protein–SH + (C₃H₆NO₂S)₂,グルテンチオール、シスチン,微量,生地の柔軟性向上、伸び改善、グルテン網の過剰な強化を抑制
