番号,構成物質名,引き継ぎ番号,化学式,量,備考
3-1,水分(合計),"1-1, 1-109, 1-22, 1-101, 1-32, 1-54, 1-75, 1-98, -M6(1-109)",H₂O,229.85 g,複数の原材料に由来する水分の総計。ミキシングによって粉、タンパク質、デンプンに吸収される。
3-2,膨潤デンプン,"M1(1-2, 1-3, 1-1, 1-109, 1-22, 1-101, 1-32, 1-54, 1-75, 1-98)",(C₆H₁₀O₅)ₙ·xH₂O,128.00 g,強力粉のデンプンが水を吸収して膨らんだ状態。生地の骨格を形成する。
3-3,アミロペクチン,"1-2, -M1(1-3, 1-1, 1-109, 1-22, 1-101, 1-32, 1-54, 1-75, 1-98), -M2(1-4, 1-5, 1-1, 1-109, 1-22, 1-101, 1-32, 1-54, 1-75, 1-98), -M9a(3-4, 3-65a)",(C₆H₁₀O₅)ₙ,96.00 g,デンプンの一部。ミキシングで水を吸収するが、グルテン網にはならず、生地の骨格を形成する。
3-4,アミロース,"1-3, -M1(1-2, 1-1, 1-109, 1-22, 1-101, 1-32, 1-54, 1-75, 1-98), -M9a(1-3, 3-65a), -M9b(1-3, 3-65b)",(C₆H₁₀O₅)ₙ,32.00 g,デンプンの一部。酵素で糖に分解され始め、一部は脂質と複合体を形成する。
3-5,グルテニン,"1-4, +M3(1-1, 1-109, 1-22, 1-101, 1-32, 1-54, 1-75, 1-98), +M11(1-5), -M18(1-20, 1-5)",C₁₀₀₀H₁₆₀₀N₂₆₀O₃₁₀S₁₀,18.00 g,グリアジンと結合してグルテン網の骨格となる。システインとの反応でチオール基を形成し、生地の粘弾性を調整する。
3-6,グリアジン,"1-5, +M3(1-1, 1-109, 1-22, 1-101, 1-32, 1-54, 1-75, 1-98), +M11(1-4), -M18(1-20, 1-4)",C₂₀₀H₃₂₀N₅₀O₆₀S₂,15.00 g,グルテニンと結合し、グルテン網の粘性と伸びに寄与する。システインとの反応により、グルテン網の柔軟性を高める。
3-7,アルブミン/グロブリン,"1-6, +M3(1-1, 1-109, 1-22, 1-101, 1-32, 1-54, 1-75, 1-98)",タンパク質一般式,3.00 g,水に溶ける小麦タンパク質。可溶性であり、グルテン網には直接参加しない。
3-8,ペントサン,"1-7, -M8(1-7, 1-43, 1-46), -M10(1-1, 1-7, 1-109, 1-22, 1-101, 1-32, 1-54, 1-75, 1-98)",(C₅H₈O₄)ₙ,12.00 g,水和して生地の粘性を高める。酵素による分解も始まる。
3-9,セルロース,1-8,(C₆H₁₀O₅)ₙ,12.00 g,不溶性の食物繊維。生地内で物理的な骨格として存在する。
3-10,リグニン,1-9,C₉H₁₀O₂–C₁₀H₁₂O₃,3.00 g,木質成分。生地の風味にわずかに影響を与える。
3-11,小麦遊離脂肪酸,"1-11, -M8(1-43, 1-46, 1-7), +M12(1-3)",C₁₈H₃₂O₂,0.30 g,小麦由来の脂肪酸。乳化を助け、生地を柔らかくする。
3-12,リン脂質,"1-12, 1-42, 1-61, 1-86",C₄₂H₈₀NO₈P,1.166 g,各原材料由来のリン脂質が合算され、乳化剤として脂質の安定分散を助ける。
3-13,NaCl,"×1-100, ×M4(1-100)",NaCl,5.85 g,塩化ナトリウム。グルテン強化、発酵抑制、風味向上に寄与する。
3-13a,ナトリウムイオン,"1-27, 1-47, +M4(1-100)",Na⁺,0.054 g,グルテン網を強化
3-13b,塩化物イオン,"1-31, +M4(1-100)",Cl⁻,5.8505 g,浸透圧により酵母の活動を抑制、発酵をコントロール
3-14,CaSO₄,1-102,CaSO₄,0.021 g,硫酸カルシウム。水の硬度を調整し、酵素活性やグルテン形成を安定させる。
