番号,反応名,反応式（物質表記）,反応式（化学式簡略）,生成物,生成量（概算）,パンへの影響（五感・食体験）
R1,スクロースの加水分解（インベルターゼ）,ショ糖 (3-73) + H₂O —(インベルターゼ)→ グルコース + フルクトース,C₁₂H₂₂O₁₁ + H₂O → 2 C₆H₁₂O₆,グルコース＋フルクトース（発酵基質）,ほぼ全量が短時間で加水分解 → → 約29.97 g → glucose+fructose 合算（分子換算後の総質量ほぼ30 g）,発酵基質供給（ガス生成と香り）
R2,デンプンの酵素分解（α/β-アミラーゼ）,膨潤デンプン (3-2) —(α/β-アミラーゼ)→ マルトース + デキストリン,(C₆H₁₀O₅)ₙ + n H₂O → マルトース (C₁₂H₂₂O₁₁) + デキストリン,マルトース（発酵糖）・デキストリン,約 5.0 g のマルトース生成（デンプン由来）、デキストリン数 g,発酵基質増、甘み基礎、焼色寄与（メイラード前駆）
R3,解糖〜アルコール発酵（酵母）,グルコース → 2 エタノール + 2 CO₂（酵母解糖系）,C₆H₁₂O₆ → 2 C₂H₅OH + 2 CO₂,エタノール、CO₂,"消費糖 22.0 g を用いて → エタノール ≈ 11.24 g, CO₂ 総 ≈ 10.76 g",CO₂により生地膨張（ボリューム増）、エタノールは香気前駆体。
R4,CO₂の溶解と生地保持,CO₂（生成） ⇄ 気泡 + 溶存CO₂,CO₂(g) ⇄ CO₂(aq)/泡,気泡中CO₂・溶存CO₂,CO₂総 10.76 g のうち 生地内保持 ≈ 2.7 g（約25%）,生地のボリュームと気泡保持（クラム構造）
R5,酵母増殖（バイオマス合成）,消費糖 + N源 → 酵母バイオマス増加,"一般式（C,H,N含有）",酵母バイオマス（新生タンパク等）,約 0.6 g（乾物換算）増加,生地の酵母量増、香り基礎、タンパク質消費の一部
R6,プロテアーゼによる蛋白分解,生地タンパク（グルテン等） —(プロテアーゼ)→ ペプチド + 遊離アミノ酸,Protein → Peptide + AA,ペプチド、遊離アミノ酸（メイラード前駆）,"ペプチド ≈ 0.5 g, 遊離アミノ酸 ≈ 0.3 g 増加",メイラード反応の前駆体増 → 風味・色づきに寄与
R7,有機酸（微量）生成／エステル化（揮発性）,一部代謝 → 酢酸・乳酸、エタノール＋酸 → エステル,C₆H₁₂O₆ → 酢酸/乳酸等、C₂H₅OH + R-COOH → R-COO-C₂H₅,酢酸、乳酸、エステル類（酢酸エチル等）,有機酸（総） ≈ 0.15 g、エステル類 ≈ mg〜数十 mg,軽い酸味、保存性・香りの複雑化（フルーティ）
R8,脂質分解（微量）／乳化安定,TAG —(リパーゼ)→ FFA + DAG（乳化体内）,TG → FFA + DAG,遊離脂肪酸（FFA）微増,FFA 増加 ≈ +0.1 g（微量）,風味の基礎、酸敗とは異なるポジティブ寄与（焼成で香気に）
R9,システインの酸化／シスチン生成,2 Cys-SH ⇄ Cys-S–S-Cys,2 C3H7NO2S ⇄ C6H12N2O4S2,シスチン（架橋）,微量→増加,グルテン架橋（S–S）に寄与し、生地の弾性・ガス保持に影響。
R10,初期メイラード（アマドリ生成）,還元糖 + アミノ酸 → シッフ塩基 → アマドリ化合物,R–CHO + R'–NH2 → Amadori product,Amadori化合物（前駆体）,痕跡〜mg,後段のメイラード・香気生成の前駆体（焼成で活性化）。
R11,空気中への揮散,省略,省略,省略,省略,省略
