0銘柄名,1取り扱い情報,2主な産地,3画像ファイル名,4柔らかさ(座標x),5食感（座標y）,6特徴,7説明文,8ローマ字読み
あきさかり,,福井県 広島県,akisakari.png,16.863,2.263,,情報整備中,
あきたこまち,,秋田県 茨木県 岩手県 長野県 岡山県 千葉県,akitakomachi.png,14.58175,15.31175,#冷めても美味,情報整備中,
あさゆき,,青森県,komebukuro.png,27.2655,18.688,,情報整備中,asayuki
イクヒカリ,,和歌山県,komebukuro.png,20.513,24.893,,情報整備中,ikuhikari
いちほまれ,,福井県,komebukuro.png,21.973,21.48633333,,情報整備中,
いのちの壱,,岐阜県,inochinoichi.png,20.513,29.273,#大粒,情報整備中,
龍の瞳,,岐阜県,ryunohitomi.png,21,30,#巨大粒,情報整備中,
いわてっこ,,岩手県,iwatekko.png,19.418,15.403,,情報整備中,
おいでまい,,香川県,oidemai.png,12.848,11.753,,情報整備中,
おぼろづき,,北海道,oborozuki.png,22.338,27.813,,情報整備中,
かぐや姫,,兵庫県,kaguyahime.png,25.258,13.943,,情報整備中,
きたくりん,,北海道,kitakurin.png,25.258,27.083,,情報整備中,
キヌヒカリ,,滋賀県 兵庫県 熊本県,kinuhikari.png,17.958,21.0605,#冷めても美味,情報整備中,
きぬむすめ,,島根県 鳥取県 岡山県 山口県 兵庫県 静岡県,kinumusume.png,15.28133333,11.753,#見た目良,情報整備中,
きらら397,,北海道,kirara397.png,3.723,5.913,,情報整備中,
くまさんの力,,熊本県,kumasannochikara.png,15.768,14.308,#大粒,情報整備中,
こしいぶき,,新潟県,koshiibuki.png,18.688,21.243,#香り良 #冷めても美味,情報整備中,
コシヒカリ,,新潟県 福島県 茨城県 栃木県 富山県 長野県 千葉県 石川県 三重県 福井県 滋賀県 兵庫県 広島県 島根県 宮崎県 高知県 徳島県 鳥取県 山口県,komebukuro.png,20.78675,25.16675,#冷めても美味,情報整備中,koshihikari
コシヒカリ(魚沼),,新潟県 魚沼,uonuma_koshihikari.png,14.79466667,20.02633333,,情報整備中,
さがびより,,佐賀県,sagabiyori.png,15.038,21.973,#大粒 #冷めても美味,情報整備中,
ササニシキ,,宮城県,sasanishiki.png,24.77133333,10.53633333,#希少米,情報整備中,
ささ結,,宮城県,sasamusubi.png,24.528,15.038,,情報整備中,
だて正夢,,宮城県,datemasayume.png,29.273,25.623,,情報整備中,
つがるロマン,,青森県,komebukuro.png,17.958,7.373,,情報整備中,tsugaruroman
つぶぞろい,,秋田県,komebukuro.png,21.243,16.498,#大粒,情報整備中,tsubuzoroi
つや姫,,山形県,tsuyahime.png,21,21,#冷めても美味 #大粒,情報整備中,
てんたかく,,富山県,tentakaku.png,9.0155,17.958,#冷めても美味,情報整備中,
とちぎの星,,栃木県,komebukuro.png,6.278,17.593,#冷めても美味 #大粒,情報整備中,tochiginohoshi
なすひかり,,栃木県,komebukuro.png,5.548,19.053,#冷めても美味,情報整備中,nasuhikari
ななつぼし,,北海道,nanatsuboshi.png,9.7455,11.5705,#冷めても美味,情報整備中,
にこまる,,長崎県 岡山県 愛媛県 熊本県 静岡県 高知県,nikomaru.png,15.403,23.433,,情報整備中,
はえぬき,,山形県,komebukuro.png,5.7305,20.3305,#冷めても美味,情報整備中,haenuki
ハツシモ,,岐阜県,hatsushimo.png,10.4755,7.1905,#大粒,情報整備中,
ハナエチゼン,,福井県,komebukuro.png,11.753,18.323,,情報整備中,hanaechizen
ぴかまる,,兵庫県,komebukuro.png,27.9955,21.0605,,情報整備中,pikamaru
ひとめぼれ,,宮城県 岩手県 福島県 秋田県 山形県 鳥取県 山口県,komebukuro.png,21.33425,19.418,#冷めても美味,情報整備中,hitomebore
ヒノヒカリ,,熊本県 福岡県 鹿児島県 大分県 宮崎県 奈良県 兵庫県,komebukuro.png,9.198,21.4255,#香り良,情報整備中,hinohikari
ふくまる,,茨城県,komebukuro.png,10.1105,24.7105,,情報整備中,fukumaru
ふさおとめ,,千葉県,komebukuro.png,15.038,10.658,,情報整備中,fusaotome
ふさこがね,,千葉県,fusakogane.png,17.958,11.023,,情報整備中,
