年カテゴリ,年代,タイトル,説明,緯度,経度,画像
-3300,3300bc,中国文明,長江下流に稲作中心の良渚文化が成立、黄河文明、長江文明を合わせて中国文明としている。,30.4126,120.2854,none
-3000,3000bc,シュメール文明,シュメール人、都市国家を建設、ウル／ウルクなどでシュメール文化が成立。,30.9641,46.1042,none
-3000,3000bc,古代エジプトの起り,ノモスが統合され、エジプト文明の形成。,30.0444,31.2357,none
-3000,3000bc,竜山文化,竜山文化　→　黒陶・灰陶,36.6222,117.0206,none
-3000,前3000年紀,エーゲ文明興る,この間、ギリシア人が南下する、エーゲ海域にエーゲ文明興る。,37.9908,23.7184,none
-2700,2650bc,古王国時代,エジプト古王国の時代となる、都メンフィス。,29.8712,31.2056,none
-2500,2530bc,ピラミッド造営,古王国のファラオ、クフ王らがピラミッドを造営。,29.9792,31.1342,none
-2000,2500～1500bc,インダス文明誕生,インダス川流域にインダス文明生まれる。,27.7213,68.8268,none
-2300,2300bc,インダス都市栄える,インダス文明、モエンジョ＝ダーロ、ハラッパーなどに都市文明栄える。,27.3283,68.1376,none
-2300,2300bc,サルゴン統一,アッカド人のサルゴン１世、メソポタミアを統一。,33.3128,44.3615,none
-2100,2100bc,ウル第３王朝,ウル第３王朝、シュメール法典が作られる。,30.9641,46.1042,none
-2000,2040bc,中王国都テーベ,エジプト中王国、都をテーベに遷す。,25.6872,32.6396,none
-2000,2000bc,ミノア文明誕生,クレタ島にミノア文明生まれる、クノッソス遺跡、エヴァンズが発掘。,35.2987,25.1596,none
-2000,2000bc,二里頭文化,中国の二里頭文化。,34.5339,112.32,none
-1900,1900bc,バビロン建国,アムル人、バビロン第一王朝を築く、都バビロン。,32.5364,44.4207,none
-1800,1800bc,インダス衰退,インダス文明の衰退始まる。,27.7213,68.8268,none
-1800,1800bc,アカイア人南下,ギリシア人の一派、アカイア人などが南下。,37.9908,23.7184,none
-1800,1792bc,ハンムラビ法典,ハンムラビ王即位、在位中にハンムラビ法典を整備。,32.5364,44.4207,none
-1700,1680bc,ヒッタイト建国,ヒッタイト、アナトリアに建国、鉄器を使用。,39.9208,32.8541,none
-1700,1650bc,ヒクソス侵入,エジプトに侵入したヒクソス、第１５王朝を建てる。,30.0444,31.2357,none
-1600,1600bc,ミケーネ文明,ギリシア本土にミケーネ文明興る、ミケーネ遺跡、シュリーマンが発掘、ミケーネ、ティリンス、ピュロスなどの都市が生まれる。,37.7244,22.7548,none
