地域名	世帯人員	有業人員	世帯主の人数	金額	食料金額	穀類金額	米金額	米数量kg	パン金額	パン数量	食パン金額	食パン数量	他のパン金額	他のパン数量	麺類金額	麺類数量	生うどん・そば金額	生うどん・そば数量	乾うどん・そば金額	乾うどん・そば数量	パスタ金額	パスタ数量	中華麺金額	中華麺数量	カップ麺金額	カップ麺数量	即席麺金額	即席麺数量	他の麺類金額	他の麺類数量	他の穀類金額	他の穀類数量	小麦粉金額	小麦粉数量	もち金額	もち数量	他食品金額	他食品数量
札幌市	2.72	1.29	58.7	3426030 	1000568 	90759 	32490 	67.22	31824 	37163 	9430 	16239 	22393 	18549 	20557 	34098 	3424 	8178 	1868 	2258 	1565 	3821 	4741 	8247 	5884 	5071 	2452 	3126 	623 	576 	5888 	9326 	528 	1764 	1527 	2482 	3833 	5048 
青森市	2.80	1.19	62.1	3131043 	1008555 	86003 	25672 	57.43	31155 	36474 	9591 	16926 	21563 	17474 	25116 	38649 	3473 	8771 	2660 	4029 	1413 	3047 	6399 	11346 	8402 	6638 	2248 	2808 	520 	587 	4061 	5427 	577 	1678 	1090 	1248 	2394 	2764 
盛岡市	2.85	1.33	59.9	3760631 	1031896 	85260 	27270 	65.24	27940 	35449 	8617 	15636 	19323 	17665 	25300 	42293 	3895 	10727 	2590 	3840 	1358 	4062 	6598 	11877 	7743 	5850 	2234 	2590 	883 	981 	4750 	6917 	582 	1931 	1292 	1848 	2876 	3569 
仙台市	2.88	1.19	57.0	3782403 	1063045 	82603 	22830 	48.26	31867 	34198 	9931 	15428 	21937 	17360 	22292 	35514 	3413 	9559 	2337 	3075 	1716 	3249 	5083 	9046 	6943 	5512 	1997 	2172 	802 	730 	5613 	6793 	561 	1547 	1549 	2262 	3503 	3309 
秋田市	2.52	1.07	63.2	3310919 	1016974 	79879 	23122 	55.15	26862 	34581 	8564 	15975 	18298 	16866 	24603 	34157 	3460 	7746 	3941 	6004 	1234 	2627 	5745 	8309 	7118 	5099 	2474 	2872 	632 	631 	5292 	8275 	729 	2280 	1248 	1670 	3315 	4057 
山形市	3.05	1.40	61.0	3877124 	1153518 	93787 	31300 	72.36	30281 	34850 	9870 	17569 	20411 	16525 	26570 	40952 	4527 	11453 	3752 	5592 	1655 	3458 	6441 	11292 	6703 	4802 	2703 	2995 	789 	740 	5636 	7597 	592 	1657 	1997 	2628 	3047 	3217 
福島市	2.80	1.26	61.3	3658254 	1088910 	90462 	30674 	87.54	31472 	35915 	8460 	16071 	23013 	19047 	23104 	32208 	3092 	8392 	2746 	3911 	1507 	3245 	4453 	7755 	7986 	5276 	2405 	2918 	914 	839 	5211 	7416 	685 	1989 	1428 	2013 	3098 	3238 
水戸市	2.80	1.29	60.1	3789238 	1040023 	78296 	21865 	45.15	30599 	36214 	9916 	16908 	20682 	17188 	19250 	28866 	3512 	8072 	2497 	3054 	1380 	2859 	4804 	7992 	4837 	3682 	1623 	1944 	596 	566 	6582 	8574 	596 	1714 	2737 	3367 	3250 	3288 
宇都宮市	2.79	1.33	58.9	3960952 	1061428 	79020 	21237 	56.30	31109 	36264 	9654 	17740 	21455 	16746 	20329 	32795 	3599 	9738 	2783 	3523 	1450 	3085 	4243 	7386 	5579 	4597 	1839 	2061 	836 	902 	6345 	8075 	697 	1928 	1920 	2414 	3729 	3831 
前橋市	2.74	1.33	61.2	3622581 	1051222 	93805 	32289 	66.52	34351 	41973 	9233 	16163 	25117 	22362 	21745 	37451 	4422 	11572 	2427 	3763 	1594 	3628 	4900 	9679 	5542 	4324 	2179 	2577 	682 	506 	5420 	6769 	635 	1924 	1300 	1989 	3486 	3367 
さいたま市	3.02	1.46	57.9	4294300 	1237598 	96845 	31158 	68.96	36887 	42687 	12239 	20347 	24648 	19020 	22185 	35448 	3892 	9267 	2715 	3155 	1834 	4368 	4717 	8053 	5832 	4182 	2347 	2690 	847 	860 	6615 	7927 	607 	2180 	1834 	2031 	4174 	3970 
千葉市	2.84	1.20	60.0	4042590 	1188978 	90191 	24227 	47.56	37868 	47104 	11406 	19809 	26462 	22169 	21488 	32174 	3644 	10091 	2017 	2372 	1785 	4051 	4565 	8126 	6087 	4369 	2366 	2771 	1024 	1101 	6608 	8505 	802 	2807 	1591 	2396 	4215 	4223 
東京都区部	2.91	1.45	59.3	4211608 	1268220 	89545 	24438 	46.00	37470 	42556 	11573 	19281 	25897 	19660 	21076 	30976 	3571 	7779 	2503 	2819 	1988 	3882 	4788 	7588 	5133 	3562 	2099 	2382 	994 	947 	6561 	8316 	551 	1568 	1764 	2405 	4247 	4228 
横浜市	2.89	1.23	61.9	3966700 	1204343 	88478 	27158 	54.18	35823 	43162 	11962 	19398 	23861 	19510 	19117 	32026 	3025 	7263 	2255 	2942 	1727 	3838 	4329 	8082 	4596 	3121 	2101 	2209 	1083 	1005 	6381 	8980 	726 	2550 	1576 	1938 	4079 	4895 
新潟市	2.95	1.42	61.0	3605163 	1092443 	98941 	32991 	78.70	35754 	44997 	10457 	19359 	25297 	22791 	24915 	40661 	3519 	11014 	3168 	4988 	1528 	3223 	5527 	10539 	8126 	5911 	2393 	2838 	654 	558 	5281 	7853 	484 	1548 	1962 	2983 	2835 	3187 
富山市	2.96	1.45	59.2	3984925 	1187628 	95573 	27833 	65.58	36284 	42264 	12932 	21355 	23352 	20200 	23148 	36562 	3833 	11076 	2494 	2947 	1540 	3124 	5541 	8669 	6591 	4754 	2614 	2795 	536 	424 	8308 	9131 	628 	1486 	3187 	2837 	4493 	5158 
金沢市	3.02	1.53	56.9	3775200 	1056465 	86913 	23519 	55.45	34979 	45222 	10804 	20859 	24175 	21941 	21613 	31511 	3768 	9839 	1812 	2333 	1563 	3298 	5704 	8341 	5636 	3837 	2428 	2654 	703 	541 	6802 	9435 	553 	1706 	2335 	2737 	3914 	4742 
福井市	2.90	1.37	62.7	3738649 	1030932 	95221 	32977 	75.44	33985 	38662 	9080 	15799 	24906 	22007 	21929 	28133 	4337 	8553 	2914 	3020 	1367 	2235 	4826 	7176 	5766 	3924 	2331 	2498 	388 	311 	6330 	6985 	736 	1970 	2708 	2367 	2886 	2823 
甲府市	2.83	1.33	61.3	3672493 	1040490 	86803 	28717 	60.79	31084 	42253 	9401 	16956 	21682 	19835 	20971 	32728 	4018 	9456 	1672 	2236 	1635 	3417 	5122 	8744 	6204 	4031 	1819 	1810 	501 	439 	6030 	7667 	482 	1284 	1850 	2290 	3699 	4150 
長野市	2.87	1.42	60.9	3827354 	1047876 	88355 	26172 	55.68	32236 	39781 	10050 	17476 	22186 	18691 	23970 	38066 	5368 	12213 	3476 	5707 	1784 	4314 	5342 	8582 	5411 	3604 	1644 	1751 	945 	1137 	5976 	8675 	857 	2799 	1753 	2491 	3366 	3457 
岐阜市	3.04	1.42	61.9	3437158 	1097760 	93221 	30740 	75.74	35677 	47831 	11795 	22166 	23883 	23734 	20687 	34433 	3737 	10947 	2147 	3111 	1467 	2686 	4801 	9020 	5830 	4416 	2068 	2451 	638 	610 	6117 	8021 	1042 	2792 	1757 	2196 	3319 	3623 
静岡市	2.94	1.39	60.9	3905145 	1118688 	92466 	32317 	65.97	31881 	37818 	10569 	18029 	21313 	18502 	21535 	32272 	3963 	9271 	2181 	2985 	1537 	3143 	5680 	9052 	5025 	3623 	2280 	2358 	868 	846 	6733 	8429 	637 	1978 	2027 	1878 	4069 	4786 
名古屋市	3.01	1.43	59.5	3706244 	1143453 	97099 	27880 	58.82	39810 	50842 	12338 	23730 	27471 	23274 	22399 	32297 	4598 	11198 	2187 	2050 	1690 	3205 	5333 	9114 	5350 	3868 	2456 	2732 	786 	672 	7010 	8706 	570 	1829 	1537 	1805 	4902 	5091 
津市	2.89	1.37	60.7	3472557 	1004750 	87351 	26497 	65.60	35385 	43072 	9527 	17534 	25858 	23019 	19367 	32082 	3756 	9189 	1880 	2766 	1290 	2771 	4404 	7864 	4603 	3661 	2530 	3074 	904 	475 	6102 	8972 	912 	3072 	1728 	2054 	3462 	4415 
大津市	2.82	1.25	59.4	3853247 	1143107 	93372 	26613 	58.14	37361 	54170 	11674 	25817 	25687 	23464 	22200 	36325 	4593 	12827 	2564 	3064 	1619 	3317 	4290 	7642 	5742 	4465 	2763 	3110 	630 	512 	7198 	9187 	563 	1834 	1871 	2507 	4765 	5356 
京都市	2.75	1.28	59.8	3546090 	1112413 	90244 	25814 	55.50	37542 	47141 	12136 	22147 	25406 	21660 	20390 	33912 	4440 	11442 	2663 	3064 	1449 	3116 	4102 	6923 	4324 	3216 	2743 	3489 	670 	411 	6499 	7564 	605 	1584 	1557 	1645 	4337 	4528 
